DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0104,9.6,9.6,0.0
DISKBSIZE,T0105,26.0,26.0,0.0
DISKBSIZE,T0106,10.0,10.0,0.0
DISKBSIZE,T0107,26.7,26.7,0.0
DISKBSIZE,T0108,6.5,6.5,0.0
DISKBSIZE,T0109,20.0,20.0,0.0
DISKBSIZE,T0110,9.6,9.6,0.0
DISKBSIZE,T0111,24.0,24.0,0.0
DISKBSIZE,T0112,9.6,9.6,0.0
DISKBSIZE,T0113,4.0,4.0,0.0
DISKBSIZE,T0114,9.8,10.0,0.0
DISKBSIZE,T0115,7.2,7.2,0.0
DISKBSIZE,T0116,9.9,9.9,0.0
DISKBSIZE,T0117,12.4,12.4,0.0
DISKBSIZE,T0118,9.7,9.7,0.0
DISKBSIZE,T0119,12.4,12.4,0.0
DISKBSIZE,T0120,6.4,6.4,0.0
DISKBSIZE,T0121,14.7,14.7,0.0
DISKBSIZE,T0122,8.4,8.4,0.0
DISKBSIZE,T0123,12.3,12.3,0.0
DISKBSIZE,T0124,9.9,9.9,0.0
DISKBSIZE,T0125,17.3,17.3,0.0
DISKBSIZE,T0126,10.0,10.0,0.0
DISKBSIZE,T0127,17.3,17.3,0.0
DISKBSIZE,T0128,10.2,10.2,0.0
DISKBSIZE,T0129,6.1,6.1,0.0
DISKBSIZE,T0130,9.6,9.6,0.0
DISKBSIZE,T0131,26.0,26.0,0.0
DISKBSIZE,T0132,6.7,6.7,0.0
DISKBSIZE,T0133,24.0,24.0,0.0
DISKBSIZE,T0134,9.6,9.6,0.0
DISKBSIZE,T0135,6.8,6.8,0.0
DISKBSIZE,T0136,10.0,10.0,0.0
DISKBSIZE,T0137,12.4,12.4,0.0
DISKBSIZE,T0138,8.7,8.7,0.0
DISKBSIZE,T0139,12.0,12.0,0.0
DISKBSIZE,T0140,9.7,9.7,0.0
DISKBSIZE,T0141,12.7,12.7,0.0
DISKBSIZE,T0142,9.7,9.7,0.0
DISKBSIZE,T0143,12.7,12.7,0.0
DISKBSIZE,T0144,9.6,9.6,0.0
DISKBSIZE,T0145,5.5,5.5,0.0
DISKBSIZE,T0146,9.5,9.5,0.0
DISKBSIZE,T0147,26.0,26.0,0.0
DISKBSIZE,T0148,9.6,9.6,0.0
DISKBSIZE,T0149,26.0,26.0,0.0
DISKBSIZE,T0150,9.2,9.2,0.0
DISKBSIZE,T0151,24.0,24.0,0.0
DISKBSIZE,T0152,9.8,9.8,0.0
DISKBSIZE,T0153,26.0,26.0,0.0
DISKBSIZE,T0154,9.5,9.5,0.0
DISKBSIZE,T0155,0.0,0.0,0.0
DISKBSIZE,T0156,6.0,6.0,0.0
DISKBSIZE,T0157,12.0,12.0,0.0
DISKBSIZE,T0158,9.9,9.9,0.0
DISKBSIZE,T0159,12.4,12.4,0.0
DISKBSIZE,T0160,9.7,9.7,0.0
DISKBSIZE,T0161,12.4,12.4,0.0
DISKBSIZE,T0162,10.7,10.7,0.0
DISKBSIZE,T0163,6.8,6.8,0.0
DISKBSIZE,T0164,9.6,9.6,0.0
DISKBSIZE,T0165,12.7,12.7,0.0
DISKBSIZE,T0166,9.7,9.7,0.0
DISKBSIZE,T0167,24.0,24.0,0.0
DISKBSIZE,T0168,6.5,6.5,0.0
DISKBSIZE,T0169,24.0,24.0,0.0
