DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0586,9.8,9.8,0.0
DISKXFER,T0587,0.4,0.4,0.0
DISKXFER,T0588,24.4,24.4,0.0
DISKXFER,T0589,0.4,0.4,0.0
DISKXFER,T0590,10.0,10.0,0.0
DISKXFER,T0591,6.6,6.6,0.0
DISKXFER,T0592,10.2,10.2,0.0
DISKXFER,T0593,0.4,0.4,0.0
DISKXFER,T0594,10.6,10.6,0.0
DISKXFER,T0595,0.4,0.4,0.0
DISKXFER,T0596,8.0,8.0,0.0
DISKXFER,T0597,2.0,2.0,0.0
DISKXFER,T0598,12.0,12.0,0.0
DISKXFER,T0599,2.0,2.0,0.0
DISKXFER,T0600,19.8,19.8,0.0
DISKXFER,T0601,1.8,1.8,0.0
DISKXFER,T0602,8.4,8.4,0.0
DISKXFER,T0603,2.2,2.2,0.0
DISKXFER,T0604,8.2,8.2,0.0
DISKXFER,T0605,6.8,6.8,0.0
DISKXFER,T0606,21.8,21.8,0.0
DISKXFER,T0607,1.8,1.8,0.0
DISKXFER,T0608,8.4,8.4,0.0
DISKXFER,T0609,1.0,1.0,0.0
DISKXFER,T0610,10.0,10.0,0.0
DISKXFER,T0611,0.6,0.6,0.0
DISKXFER,T0612,16.4,16.4,0.0
DISKXFER,T0613,0.6,0.6,0.0
DISKXFER,T0614,9.8,9.8,0.0
DISKXFER,T0615,0.4,0.4,0.0
DISKXFER,T0616,9.8,9.8,0.0
DISKXFER,T0617,0.4,0.4,0.0
DISKXFER,T0618,11.4,11.4,0.0
DISKXFER,T0619,4.4,4.4,0.0
DISKXFER,T0620,8.6,8.6,0.0
DISKXFER,T0621,1.8,1.8,0.0
DISKXFER,T0622,8.4,8.4,0.0
DISKXFER,T0623,1.8,1.8,0.0
DISKXFER,T0624,20.0,20.0,0.0
DISKXFER,T0625,2.4,2.4,0.0
DISKXFER,T0626,12.0,12.0,0.0
DISKXFER,T0627,2.6,2.6,0.0
DISKXFER,T0628,8.0,8.0,0.0
DISKXFER,T0629,2.2,2.2,0.0
DISKXFER,T0630,8.8,8.8,0.0
DISKXFER,T0631,22.0,22.0,0.0
DISKXFER,T0632,10.4,10.4,0.0
DISKXFER,T0633,0.4,0.4,0.0
DISKXFER,T0634,9.8,9.8,0.0
DISKXFER,T0635,0.4,0.4,0.0
DISKXFER,T0636,16.0,16.0,0.0
DISKXFER,T0637,0.4,0.4,0.0
DISKXFER,T0638,9.8,9.8,0.0
DISKXFER,T0639,0.4,0.4,0.0
DISKXFER,T0640,9.8,9.8,0.0
DISKXFER,T0641,0.0,0.0,0.0
DISKXFER,T0642,14.4,14.4,0.0
DISKXFER,T0643,1.8,1.8,0.0
DISKXFER,T0644,8.4,8.4,0.0
DISKXFER,T0645,1.8,1.8,0.0
DISKXFER,T0646,8.4,8.4,0.0
DISKXFER,T0647,2.2,2.2,0.0
DISKXFER,T0648,19.8,19.8,0.0
DISKXFER,T0649,8.4,8.4,0.0
DISKXFER,T0650,8.0,8.0,0.0
DISKXFER,T0651,2.2,2.2,0.0
DISKXFER,T0652,8.0,8.0,0.0
DISKXFER,T0653,0.6,0.6,0.0
DISKXFER,T0654,11.0,11.0,0.0
DISKXFER,T0655,16.2,16.2,0.0
DISKXFER,T0656,9.8,9.8,0.0
DISKXFER,T0657,0.4,0.4,0.0
DISKXFER,T0658,14.4,14.4,0.0
DISKXFER,T0659,0.4,0.4,0.0
DISKXFER,T0660,10.2,10.2,0.0
DISKXFER,T0661,0.4,0.4,0.0
DISKXFER,T0662,9.8,9.8,0.0
DISKXFER,T0663,0.0,0.0,0.0
DISKXFER,T0664,12.4,12.4,0.0
DISKXFER,T0665,2.6,2.6,0.0
DISKXFER,T0666,9.6,9.6,0.0
DISKXFER,T0667,1.8,1.8,0.0
DISKXFER,T0668,8.4,8.4,0.0
DISKXFER,T0669,2.6,2.6,0.0
DISKXFER,T0670,8.0,8.0,0.0
DISKXFER,T0671,6.2,6.2,0.0
DISKXFER,T0672,23.4,23.4,0.0
DISKXFER,T0673,2.8,2.8,0.0
DISKXFER,T0674,8.0,8.0,0.0
DISKXFER,T0675,0.4,0.4,0.0
DISKXFER,T0676,10.0,10.0,0.0
DISKXFER,T0677,5.8,5.8,0.0
DISKXFER,T0678,12.0,11.8,0.0
DISKXFER,T0679,1.0,1.0,0.0
DISKXFER,T0680,10.2,10.2,0.0
DISKXFER,T0681,0.4,0.4,0.0
DISKXFER,T0682,9.8,9.8,0.0
DISKXFER,T0683,0.4,0.4,0.0
DISKXFER,T0684,22.4,22.4,0.0
DISKXFER,T0685,0.2,0.2,0.0
DISKXFER,T0686,9.4,9.4,0.0
